OBJECTID,name,introduction,difficulty,bikingTime,hasAlerts,introductionThumbnail,mountainBikingTrackWebPage,dateLoadedToGIS,Shape__Length
119354,Hotoritori mountain bike trails,Riders of all ages can explore this network of trails through native and pine forest. Experienced riders can opt to extend their rides by combining multiple trail loops.,"Easy, Intermediate",25 min +,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/969e0e5733a146e5a22d013a13266405.jpg,https://www.doc.govt.nz/link/45be56ed1a2e42a28efa27aa842ed96b.aspx,12/2/2025 8:41:16 AM,13420.4349939542
119355,Kirtle Burn Track,"Kirtle Burn Track starts at the Western side of the Pisa Conservation Area, accessing Kirtle Burn Hut, and giving access to Mt Pisa.",Intermediate,3 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/862cca54ca0e41d7b89fc39ca6ae9069.aspx,https://www.doc.govt.nz/link/74cdb6aaa8224137ad147108b59899e0.aspx,12/2/2025 8:41:16 AM,12212.9766543429
119356,Pisa Range Ridge Track,Access Mt Pisa and other Pisa Conservation Area tracks.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/63c844fe5dab453b85d0a2089a1e4bac.aspx,https://www.doc.govt.nz/link/0e4b10bda463415d906c529238268484.aspx,12/2/2025 8:41:16 AM,29238.6762054389
119357,Pike29 Memorial Track,This track has been dedicated to the 29 men killed in the Pike Mine disaster and is named in their honour.,Advanced,3 hr 30 min-4 hr uphill | 1-2 hr downhill,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b14e6f2514174535bb1837786cc00c7a.aspx,https://www.doc.govt.nz/link/b42bfa18a80e43a693ddf6beee3e8bf1.aspx,12/2/2025 8:41:16 AM,10624.8713035859
119358,Cockayne Alley Track,This track links Dracophyllum Flat Track with Cheeseman Road.,Expert,,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/7c74249fb50d4b329276393ecd17da42.aspx,12/2/2025 8:41:15 AM,3158.76704300028
119359,Cuckoo Creek Track,This shared-use track links Dracophyllum Flat Track with Cheeseman Road.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/eeee4acafa724f3aa848543f9d6d951e.aspx,https://www.doc.govt.nz/link/df973014c4b74394b00a23d6c7b87f26.aspx,12/2/2025 8:41:15 AM,1502.2205813009
119360,Dracophyllum Flat Track,"This track leads from Jacks Pass to Dracophyllum Flat, a popular picnic spot, then on to Texas Flat",Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b94f90442f5c4e5889d12ea85a81613e.aspx,https://www.doc.govt.nz/link/cb7132e686f24d5daf5d888038c5dd55.aspx,12/2/2025 8:41:15 AM,5801.89853276702
119361,Craigieburn Edge Track,"This track follows the Craigieburn Valley through mountain beech forest and tussock. It is best walked in summer and early autumn, as there can be avalanches when snow is present on the hills.",Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3b69c279a61e4416b437178d11fcdc5d.aspx,https://www.doc.govt.nz/link/04f6240139f94a7fa21f44c5edc129e2.aspx,12/2/2025 8:41:15 AM,4393.12666696945
119362,The Luge Track,"This track links the Broken River and Craigieburn valleys, via Lyndon Saddle.",Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a4c32d1a8f28426189cf9651b06693b7.aspx,https://www.doc.govt.nz/link/fc4092bddc8a45c1aade68c27447ff26.aspx,12/2/2025 8:41:15 AM,3035.64670345951
119363,Hogs Back Track (Easy Up Track and Descent Track),This walking and biking track leads from Castle Hill Village to Texas Flat / Mt Cheeseman Road.,Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/925520314c0949e391993ed8f368fe1f.aspx,https://www.doc.govt.nz/link/64f786270a364c39811d448eaa089340.aspx,12/2/2025 8:41:15 AM,10446.2051980925
119364,Craigieburn Sidle 73 Track,This track connects Craigieburn picnic area with the Craigieburn ski field access road.,Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9fa02ce92b424c349d41a867db4a56ea.aspx,https://www.doc.govt.nz/link/d680d6a424b54c719935514216630d50.aspx,12/2/2025 8:41:15 AM,1012.7790852557
119365,Coal Pit Spur Track,"This shared-use track links Craigieburn valley and Flock Hill, via Coal Pit Spur.",Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9a8d9baf5c1e40f68fd582ca69efcc3b.aspx,https://www.doc.govt.nz/link/cb4d32bd61c1424790e4fe3697058bcf.aspx,12/2/2025 8:41:14 AM,4127.18074264392
119366,Thomas River Track,From the Water Intake Road to Castle Hill Village,Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5131571fae3340b4806b73c61ceef923.aspx,https://www.doc.govt.nz/link/b913c9822fe048e28e17a10fdd2b0e2c.aspx,12/2/2025 8:41:14 AM,1364.36200681567
119367,Kōkako Track,Walk from Haast Township through spectacular native forest down to Haast Beach.,Easiest,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c7cd0b023eee473e95da2a276f08dd7c.aspx,https://www.doc.govt.nz/link/b163e3f0f8f34731bb7e86094743ab50.aspx,12/2/2025 8:41:14 AM,5154.07932206441
119368,Mt Fyffe Hut/Kowhai Saddle Route,There are superb views from Mt Fyffe. You can climb or mountain bike the steep track to the summit or go as far as Mt Fyffe Hut.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/06f54a2c97e3462e87f2225cb85ef6b3.aspx,https://www.doc.govt.nz/link/fe02f02756bb43fbaf3ea7c34209bcbb.aspx,12/2/2025 8:41:14 AM,8950.79488047556
119369,Reefton - Big River 4WD road,This track through beech forest and mining sites is only suitable for walkers or experienced mountain bikers and four-wheel drivers.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/f027f550162f4d67820c804ea19f98b6.aspx,12/2/2025 8:41:13 AM,20292.8409380509
119370,Lankey Creek Tram Track,Walk on an old tram line to an enchanted forest.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/9a2b85f0d1f3491697931a336c5817e3.aspx,12/2/2025 8:41:13 AM,2760.81736057881
